name,weekly_gross_eur,annual_gross_eur,adjusted_gross_eur,position,age,country,club,season,league,verified,bonus_gross_eur,signed,expiration,years,total_gross_eur,release_eur,status,position_detail,active
Isco,"€ 280,385","€ 14,580,000","€ 15,803,346",F,28,Spain,Real Madrid,2020-2021,la-liga,,,,,,,,,,
Joao Felix,"€ 280,385","€ 14,580,000","€ 15,803,346",F,20,Portugal,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Yannick Carrasco,"€ 252,500","€ 13,130,000","€ 14,231,683",F,27,Belgium,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Thibaut Courtois,"€ 252,500","€ 13,130,000","€ 14,231,683",K,28,Belgium,Real Madrid,2020-2021,la-liga,,,,,,,,,,
Clement Lenglet,"€ 230,769","€ 12,000,000","€ 13,006,869",D,25,France,Barcelona,2020-2021,la-liga,,,,,,,,,,
Saul Niguez,"€ 230,769","€ 12,000,000","€ 13,006,869",M,25,Spain,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Ousmane Dembele,"€ 230,769","€ 12,000,000","€ 13,006,869",F,23,France,Barcelona,2020-2021,la-liga,,,,,,,,,,
Inaki Williams,"€ 219,231","€ 11,400,000","€ 12,356,526",F,26,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Casemiro,"€ 210,385","€ 10,940,000","€ 11,857,929",M,28,Brazil,Real Madrid,2020-2021,la-liga,,,,,,,,,,
Ferland Mendy,"€ 200,385","€ 10,420,000","€ 11,294,298",D,25,France,Real Madrid,2020-2021,la-liga,,,,,,,,,,
Daniel Carvajal,"€ 196,346","€ 10,210,000","€ 11,066,678",D,28,Spain,Real Madrid,2020-2021,la-liga,,,,,,,,,,
Marco Asensio,"€ 189,038","€ 9,830,000","€ 10,654,794",F,24,Spain,Real Madrid,2020-2021,la-liga,,,,,,,,,,
Lucas Vazquez,"€ 180,385","€ 9,380,000","€ 10,167,036",F,29,Spain,Real Madrid,2020-2021,la-liga,,,,,,,,,,
Diego Costa,"€ 178,846","€ 9,300,000","€ 10,080,324",F,32,Spain,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Sergi Roberto,"€ 173,077","€ 9,000,000","€ 9,755,152",D,28,Spain,Barcelona,2020-2021,la-liga,,,,,,,,,,
Marc-Andre ter Stegen,"€ 173,077","€ 9,000,000","€ 9,755,152",K,28,Germany,Barcelona,2020-2021,la-liga,,,,,,,,,,
Kevin Gameiro,"€ 171,923","€ 8,940,000","€ 9,690,118",F,33,France,Valencia,2020-2021,la-liga,,,,,,,,,,
Inigo Martinez,"€ 170,577","€ 8,870,000","€ 9,614,244",D,29,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Nacho Fernandez,"€ 164,231","€ 8,540,000","€ 9,256,555",D,30,Spain,Real Madrid,2020-2021,la-liga,,,,,,,,,,
Luka Jovic,"€ 160,192","€ 8,330,000","€ 9,028,935",F,22,Serbia,Real Madrid,2020-2021,la-liga,,,,,,,,,,
Mario Hermoso,"€ 160,192","€ 8,330,000","€ 9,028,935",D,25,Spain,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Mariano Diaz,"€ 160,192","€ 8,330,000","€ 9,028,935",F,27,Spain,Real Madrid,2020-2021,la-liga,,,,,,,,,,
Rodrygo,"€ 160,192","€ 8,330,000","€ 9,028,935",F,19,Brazil,Real Madrid,2020-2021,la-liga,,,,,,,,,,
Felipe,"€ 145,385","€ 7,560,000","€ 8,194,328",D,31,Brazil,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Sime Vrsaljko,"€ 140,962","€ 7,330,000","€ 7,945,029",D,28,Croatia,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Eder Militao,"€ 140,192","€ 7,290,000","€ 7,901,673",D,22,Brazil,Real Madrid,2020-2021,la-liga,,,,,,,,,,
Alvaro Odriozola,"€ 140,192","€ 7,290,000","€ 7,901,673",D,24,Spain,Real Madrid,2020-2021,la-liga,,,,,,,,,,
Carlos Bacca,"€ 139,615","€ 7,260,000","€ 7,869,156",F,34,Colombia,Villarreal,2020-2021,la-liga,,,,,,,,,,
Geoffrey Kondogbia,"€ 132,692","€ 6,900,000","€ 7,478,950",M,27,Central African Republic,Valencia,2020-2021,la-liga,,,,,,,,,,
Geoffrey Kondogbia,"€ 132,692","€ 6,900,000","€ 7,478,950",M,27,Central African Republic,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Nabil Fekir,"€ 130,769","€ 6,800,000","€ 7,370,559",F,27,France,Real Betis,2020-2021,la-liga,,,,,,,,,,
Vitolo,"€ 129,615","€ 6,740,000","€ 7,305,525",F,30,Spain,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Vinicius Junior,"€ 128,269","€ 6,670,000","€ 7,229,651",F,20,Brazil,Real Madrid,2020-2021,la-liga,,,,,,,,,,
Thomas Lemar,"€ 125,000","€ 6,500,000","€ 7,045,387",F,24,France,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Ivan Rakitic,"€ 124,038","€ 6,450,000","€ 6,991,192",M,32,Croatia,Sevilla,2020-2021,la-liga,,,,,,,,,,
Frenkie de Jong,"€ 120,000","€ 6,240,000","€ 6,763,572",M,23,Netherlands,Barcelona,2020-2021,la-liga,,,,,,,,,,
Goncalo Guedes,"€ 117,308","€ 6,100,000","€ 6,611,825",F,23,Portugal,Valencia,2020-2021,la-liga,,,,,,,,,,
Neto,"€ 115,385","€ 6,000,000","€ 6,503,435",K,31,Brazil,Barcelona,2020-2021,la-liga,,,,,,,,,,
Hector Herrera,"€ 115,385","€ 6,000,000","€ 6,503,435",M,30,Mexico,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Martin Braithwaite,"€ 115,385","€ 6,000,000","€ 6,503,435",F,29,Denmark,Barcelona,2020-2021,la-liga,,,,,,,,,,
Sergino Dest,"€ 115,385","€ 6,000,000","€ 6,503,435",D,19,United States,Barcelona,2020-2021,la-liga,,,,,,,,,,
Junior Firpo,"€ 115,385","€ 6,000,000","€ 6,503,435",D,24,Spain,Barcelona,2020-2021,la-liga,,,,,,,,,,
Raul Garcia,"€ 107,692","€ 5,600,000","€ 6,069,872",F,34,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Nemanja Gudelj,"€ 107,692","€ 5,600,000","€ 6,069,872",M,28,Serbia,Sevilla,2020-2021,la-liga,,,,,,,,,,
Gabriel Paulista,"€ 102,500","€ 5,330,000","€ 5,777,218",D,29,Brazil,Valencia,2020-2021,la-liga,,,,,,,,,,
David Silva,"€ 101,923","€ 5,300,000","€ 5,744,701",F,34,Spain,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Paco Alcacer,"€ 100,192","€ 5,210,000","€ 5,647,149",F,27,Spain,Villarreal,2020-2021,la-liga,,,,,,,,,,
Vicente Iborra,"€ 99,231","€ 5,160,000","€ 5,592,954",M,32,Spain,Villarreal,2020-2021,la-liga,,,,,,,,,,
Moussa Wague,"€ 96,154","€ 5,000,000","€ 5,419,529",D,22,Senegal,Barcelona,2020-2021,la-liga,,,,,,,,,,
Munir El Haddadi,"€ 95,769","€ 4,980,000","€ 5,397,851",F,25,Morocco,Sevilla,2020-2021,la-liga,,,,,,,,,,
Fernando,"€ 93,654","€ 4,870,000","€ 5,278,621",M,33,Brazil,Sevilla,2020-2021,la-liga,,,,,,,,,,
Nolito,"€ 88,077","€ 4,580,000","€ 4,964,288",F,34,Spain,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Stefan Savic,"€ 86,538","€ 4,500,000","€ 4,877,576",D,29,Montenegro,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Jesus Navas,"€ 84,615","€ 4,400,000","€ 4,769,185",D,34,Spain,Sevilla,2020-2021,la-liga,,,,,,,,,,
Denis Suarez,"€ 84,231","€ 4,380,000","€ 4,747,507",F,26,Spain,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Yuri Berchiche,"€ 82,308","€ 4,280,000","€ 4,639,117",D,30,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Unai Simon,"€ 82,308","€ 4,280,000","€ 4,639,117",K,23,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Martin Odegaard,"€ 80,192","€ 4,170,000","€ 4,519,887",F,21,Norway,Real Madrid,2020-2021,la-liga,,,,,,,,,,
Federico Valverde,"€ 80,192","€ 4,170,000","€ 4,519,887",M,22,Uruguay,Real Madrid,2020-2021,la-liga,,,,,,,,,,
Roque Mesa,"€ 80,000","€ 4,160,000","€ 4,509,048",M,31,Spain,Valladolid,2020-2021,la-liga,,,,,,,,,,
Riqui Puig,"€ 76,923","€ 4,000,000","€ 4,335,623",M,21,Spain,Barcelona,2020-2021,la-liga,,,,,,,,,,
Adnan Januzaj,"€ 76,923","€ 4,000,000","€ 4,335,623",F,25,Belgium,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Jose Gimenez,"€ 76,923","€ 4,000,000","€ 4,335,623",D,25,Uruguay,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Pedri,"€ 76,923","€ 4,000,000","€ 4,335,623",F,17,Spain,Barcelona,2020-2021,la-liga,,,,,,,,,,
Lucas Torreira,"€ 75,962","€ 3,950,000","€ 4,281,428",M,24,Uruguay,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Trincao,"€ 75,000","€ 3,900,000","€ 4,227,232",F,21,Portugal,Barcelona,2020-2021,la-liga,,,,,,,,,,
Papu Gomez,"€ 74,231","€ 3,860,000","€ 4,183,876",F,32,Argentina,Sevilla,2020-2021,la-liga,,,,,,,,,,
Dani Parejo,"€ 73,077","€ 3,800,000","€ 4,118,842",M,31,Spain,Villarreal,2020-2021,la-liga,,,,,,,,,,
Franco Vazquez,"€ 73,077","€ 3,800,000","€ 4,118,842",F,31,Argentina,Sevilla,2020-2021,la-liga,,,,,,,,,,
Renan Lodi,"€ 73,077","€ 3,800,000","€ 4,118,842",D,22,Brazil,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Pau Torres,"€ 73,077","€ 3,800,000","€ 4,118,842",D,23,Spain,Villarreal,2020-2021,la-liga,,,,,,,,,,
Jasper Cillessen,"€ 72,115","€ 3,750,000","€ 4,064,647",K,31,Netherlands,Valencia,2020-2021,la-liga,,,,,,,,,,
Francis Coquelin,"€ 71,923","€ 3,740,000","€ 4,053,808",M,29,France,Villarreal,2020-2021,la-liga,,,,,,,,,,
Tomas Vaclik,"€ 71,538","€ 3,720,000","€ 4,032,129",K,31,Czech Republic,Sevilla,2020-2021,la-liga,,,,,,,,,,
Maxime Gonalons,"€ 71,154","€ 3,700,000","€ 4,010,451",M,31,France,Granada,2020-2021,la-liga,,,,,,,,,,
Patrick Cutrone,"€ 70,000","€ 3,640,000","€ 3,945,417",F,23,Italy,Valencia,2020-2021,la-liga,,,,,,,,,,
Jose Gaya,"€ 67,308","€ 3,500,000","€ 3,793,670",D,25,Spain,Valencia,2020-2021,la-liga,,,,,,,,,,
Angel Correa,"€ 67,308","€ 3,500,000","€ 3,793,670",F,25,Argentina,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Sergio Asenjo,"€ 66,538","€ 3,460,000","€ 3,750,314",K,31,Spain,Villarreal,2020-2021,la-liga,,,,,,,,,,
Nacho Monreal,"€ 66,346","€ 3,450,000","€ 3,739,475",D,34,Spain,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Daniel Wass,"€ 66,154","€ 3,440,000","€ 3,728,636",D,31,Denmark,Valencia,2020-2021,la-liga,,,,,,,,,,
Mario Gaspar,"€ 64,038","€ 3,330,000","€ 3,609,406",D,29,Spain,Villarreal,2020-2021,la-liga,,,,,,,,,,
Diego Carlos,"€ 63,846","€ 3,320,000","€ 3,598,567",D,27,Brazil,Sevilla,2020-2021,la-liga,,,,,,,,,,
Mikel Merino,"€ 61,538","€ 3,200,000","€ 3,468,498",M,24,Spain,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Denis Cheryshev,"€ 61,346","€ 3,190,000","€ 3,457,659",F,29,Russia,Valencia,2020-2021,la-liga,,,,,,,,,,
Iago Herrerin,"€ 61,154","€ 3,180,000","€ 3,446,820",K,32,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Moussa Dembele,"€ 60,000","€ 3,120,000","€ 3,381,786",F,24,France,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Youssef En-Nesyri,"€ 57,692","€ 3,000,000","€ 3,251,717",F,23,Morocco,Sevilla,2020-2021,la-liga,,,,,,,,,,
Asier Illarramendi,"€ 57,692","€ 3,000,000","€ 3,251,717",M,30,Spain,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Geronimo Rulli,"€ 56,923","€ 2,960,000","€ 3,208,361",K,28,Argentina,Villarreal,2020-2021,la-liga,,,,,,,,,,
Martin Montoya,"€ 56,731","€ 2,950,000","€ 3,197,522",D,29,Spain,Real Betis,2020-2021,la-liga,,,,,,,,,,
Iago Aspas,"€ 55,769","€ 2,900,000","€ 3,143,327",F,33,Spain,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Jason,"€ 55,000","€ 2,860,000","€ 3,099,970",F,26,Spain,Valencia,2020-2021,la-liga,,,,,,,,,,
Raul Albiol,"€ 54,615","€ 2,840,000","€ 3,078,292",D,35,Spain,Villarreal,2020-2021,la-liga,,,,,,,,,,
Andriy Lunin,"€ 54,038","€ 2,810,000","€ 3,045,775",K,21,Ukraine,Real Madrid,2020-2021,la-liga,,,,,,,,,,
Suso,"€ 53,846","€ 2,800,000","€ 3,034,936",F,26,Spain,Sevilla,2020-2021,la-liga,,,,,,,,,,
Dani Garcia,"€ 53,269","€ 2,770,000","€ 3,002,419",M,30,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Rodrigo Battaglia,"€ 52,885","€ 2,750,000","€ 2,980,741",M,29,Argentina,Alaves,2020-2021,la-liga,,,,,,,,,,
Willian Jose,"€ 51,923","€ 2,700,000","€ 2,926,546",F,28,Brazil,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Marc Bartra,"€ 51,923","€ 2,700,000","€ 2,926,546",D,29,Spain,Real Betis,2020-2021,la-liga,,,,,,,,,,
Inigo Cordoba,"€ 51,154","€ 2,660,000","€ 2,883,189",F,23,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Inigo Cordoba,"€ 51,154","€ 2,660,000","€ 2,883,189",F,23,Spain,Alaves,2020-2021,la-liga,,,,,,,,,,
Eliaquim Mangala,"€ 50,577","€ 2,630,000","€ 2,850,672",D,29,France,Valencia,2020-2021,la-liga,,,,,,,,,,
Manu Vallejo,"€ 50,577","€ 2,630,000","€ 2,850,672",F,23,Spain,Valencia,2020-2021,la-liga,,,,,,,,,,
Ibai Gomez,"€ 48,846","€ 2,540,000","€ 2,753,121",F,30,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Kenedy,"€ 48,654","€ 2,530,000","€ 2,742,282",F,24,Brazil,Granada,2020-2021,la-liga,,,,,,,,,,
Manu Sanchez,"€ 48,462","€ 2,520,000","€ 2,731,443",D,20,Spain,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Ramiro Funes Mori,"€ 48,269","€ 2,510,000","€ 2,720,603",D,29,Argentina,Villarreal,2020-2021,la-liga,,,,,,,,,,
Yoshinori Muto,"€ 48,077","€ 2,500,000","€ 2,709,764",F,28,Japan,Eibar,2020-2021,la-liga,,,,,,,,,,
Marcos Acuna,"€ 48,077","€ 2,500,000","€ 2,709,764",D,28,Argentina,Sevilla,2020-2021,la-liga,,,,,,,,,,
Karim Rekik,"€ 48,077","€ 2,500,000","€ 2,709,764",D,25,Netherlands,Sevilla,2020-2021,la-liga,,,,,,,,,,
Joan Jordan,"€ 46,154","€ 2,400,000","€ 2,601,374",M,26,Spain,Sevilla,2020-2021,la-liga,,,,,,,,,,
Yeray Alvarez,"€ 46,154","€ 2,400,000","€ 2,601,374",D,25,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Marc Cucurella,"€ 45,962","€ 2,390,000","€ 2,590,535",M,22,Spain,Getafe,2020-2021,la-liga,,,,,,,,,,
Ruben Blanco,"€ 45,000","€ 2,340,000","€ 2,536,339",K,25,Spain,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Oliver Torres,"€ 44,231","€ 2,300,000","€ 2,492,983",M,25,Spain,Sevilla,2020-2021,la-liga,,,,,,,,,,
Pervis Estupinan,"€ 44,038","€ 2,290,000","€ 2,482,144",D,22,Ecuador,Villarreal,2020-2021,la-liga,,,,,,,,,,
Alex Remiro,"€ 42,885","€ 2,230,000","€ 2,417,110",K,25,Spain,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Iker Muniain,"€ 42,308","€ 2,200,000","€ 2,384,593",F,27,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Djene,"€ 42,308","€ 2,200,000","€ 2,384,593",D,28,Togo,Getafe,2020-2021,la-liga,,,,,,,,,,
Mikel Oyarzabal,"€ 42,308","€ 2,200,000","€ 2,384,593",F,23,Spain,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Jeison Murillo,"€ 42,115","€ 2,190,000","€ 2,373,754",D,28,Colombia,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Jaime Mata,"€ 41,154","€ 2,140,000","€ 2,319,558",F,31,Spain,Getafe,2020-2021,la-liga,,,,,,,,,,
Kenan Kodro,"€ 41,154","€ 2,140,000","€ 2,319,558",F,27,Bosnia-Herzegovina,Valladolid,2020-2021,la-liga,,,,,,,,,,
Kenan Kodro,"€ 41,154","€ 2,140,000","€ 2,319,558",F,27,Bosnia-Herzegovina,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Jaume Domenech,"€ 40,577","€ 2,110,000","€ 2,287,041",K,29,Spain,Valencia,2020-2021,la-liga,,,,,,,,,,
Portu,"€ 40,577","€ 2,110,000","€ 2,287,041",F,28,Spain,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Marcos Llorente,"€ 40,385","€ 2,100,000","€ 2,276,202",F,25,Spain,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Carlos Soler,"€ 40,385","€ 2,100,000","€ 2,276,202",M,23,Spain,Valencia,2020-2021,la-liga,,,,,,,,,,
Manu Trigueros,"€ 40,000","€ 2,080,000","€ 2,254,524",M,29,Spain,Villarreal,2020-2021,la-liga,,,,,,,,,,
Denis Vavro,"€ 40,000","€ 2,080,000","€ 2,254,524",D,24,Slovakia,Huesca,2020-2021,la-liga,,,,,,,,,,
Gerard Moreno,"€ 40,000","€ 2,080,000","€ 2,254,524",F,28,Spain,Villarreal,2020-2021,la-liga,,,,,,,,,,
Nemanja Maksimovic,"€ 40,000","€ 2,080,000","€ 2,254,524",M,25,Serbia,Getafe,2020-2021,la-liga,,,,,,,,,,
Kieran Trippier,"€ 38,462","€ 2,000,000","€ 2,167,812",D,30,England,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Juan Foyth,"€ 38,462","€ 2,000,000","€ 2,167,812",D,22,Argentina,Villarreal,2020-2021,la-liga,,,,,,,,,,
Aaron Martin,"€ 38,462","€ 2,000,000","€ 2,167,812",D,23,Spain,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Miguel Angel Moya,"€ 37,885","€ 1,970,000","€ 2,135,294",K,36,Spain,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Etienne Capoue,"€ 36,538","€ 1,900,000","€ 2,059,421",M,32,France,Villarreal,2020-2021,la-liga,,,,,,,,,,
Aritz Elustondo,"€ 35,577","€ 1,850,000","€ 2,005,226",D,26,Spain,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Nestor Araujo,"€ 35,385","€ 1,840,000","€ 1,994,387",D,29,Mexico,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Thierry Correia,"€ 35,385","€ 1,840,000","€ 1,994,387",D,21,Portugal,Valencia,2020-2021,la-liga,,,,,,,,,,
Fabian Orellana,"€ 34,808","€ 1,810,000","€ 1,961,869",F,34,Chile,Valladolid,2020-2021,la-liga,,,,,,,,,,
Joseba Zaldua,"€ 34,808","€ 1,810,000","€ 1,961,869",D,28,Spain,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Jota Peleteiro,"€ 34,808","€ 1,810,000","€ 1,961,869",F,29,Spain,Alaves,2020-2021,la-liga,,,,,,,,,,
Oscar de Marcos,"€ 34,615","€ 1,800,000","€ 1,951,030",D,31,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Jose Luis Morales,"€ 34,615","€ 1,800,000","€ 1,951,030",F,33,Spain,Levante,2020-2021,la-liga,,,,,,,,,,
Alfonso Pedraza,"€ 34,615","€ 1,800,000","€ 1,951,030",D,24,Spain,Villarreal,2020-2021,la-liga,,,,,,,,,,
Borja Iglesias,"€ 34,615","€ 1,800,000","€ 1,951,030",F,27,Spain,Real Betis,2020-2021,la-liga,,,,,,,,,,
Jesus Vallejo,"€ 34,615","€ 1,800,000","€ 1,951,030",D,23,Spain,Granada,2020-2021,la-liga,,,,,,,,,,
Sergio Escudero,"€ 34,615","€ 1,800,000","€ 1,951,030",D,31,Spain,Sevilla,2020-2021,la-liga,,,,,,,,,,
Raul Navas,"€ 34,423","€ 1,790,000","€ 1,940,191",D,32,Spain,Osasuna,2020-2021,la-liga,,,,,,,,,,
Jony,"€ 34,423","€ 1,790,000","€ 1,940,191",F,29,Spain,Osasuna,2020-2021,la-liga,,,,,,,,,,
Ivan Marcone,"€ 34,231","€ 1,780,000","€ 1,929,352",M,30,Argentina,Elche,2020-2021,la-liga,,,,,,,,,,
Okay Yokuslu,"€ 34,231","€ 1,780,000","€ 1,929,352",M,26,Turkey,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Asier Villalibre,"€ 34,038","€ 1,770,000","€ 1,918,513",F,23,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Toni Lato,"€ 33,846","€ 1,760,000","€ 1,907,674",D,22,Spain,Valencia,2020-2021,la-liga,,,,,,,,,,
Hugo Mallo,"€ 33,654","€ 1,750,000","€ 1,896,835",D,29,Spain,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Martin Zubimendi,"€ 33,077","€ 1,720,000","€ 1,864,318",M,21,Spain,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Sergio Alvarez,"€ 33,077","€ 1,720,000","€ 1,864,318",K,34,Spain,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Santi Mina,"€ 32,885","€ 1,710,000","€ 1,853,479",F,24,Spain,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Lucas Ocampos,"€ 32,692","€ 1,700,000","€ 1,842,640",F,26,Argentina,Sevilla,2020-2021,la-liga,,,,,,,,,,
Guido Rodriguez,"€ 32,692","€ 1,700,000","€ 1,842,640",M,26,Argentina,Real Betis,2020-2021,la-liga,,,,,,,,,,
Unai Nunez,"€ 32,692","€ 1,700,000","€ 1,842,640",D,23,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Andres Guardado,"€ 32,692","€ 1,700,000","€ 1,842,640",M,34,Mexico,Real Betis,2020-2021,la-liga,,,,,,,,,,
William Carvalho,"€ 32,692","€ 1,700,000","€ 1,842,640",M,28,Portugal,Real Betis,2020-2021,la-liga,,,,,,,,,,
Alex Berenguer,"€ 32,692","€ 1,700,000","€ 1,842,640",F,25,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Ruben Rochina,"€ 32,692","€ 1,700,000","€ 1,842,640",F,29,Spain,Levante,2020-2021,la-liga,,,,,,,,,,
Alex Blanco,"€ 32,308","€ 1,680,000","€ 1,820,962",F,21,Spain,Valencia,2020-2021,la-liga,,,,,,,,,,
Cristiano Piccini,"€ 32,115","€ 1,670,000","€ 1,810,123",D,28,Italy,Valencia,2020-2021,la-liga,,,,,,,,,,
Bono,"€ 31,923","€ 1,660,000","€ 1,799,284",K,29,Morocco,Sevilla,2020-2021,la-liga,,,,,,,,,,
Joris Gnagnon,"€ 31,346","€ 1,630,000","€ 1,766,766",D,23,France,Sevilla,2020-2021,la-liga,,,,,,,,,,
Hugo Guillamon,"€ 31,154","€ 1,620,000","€ 1,755,927",D,20,Spain,Valencia,2020-2021,la-liga,,,,,,,,,,
Jose Campana,"€ 30,769","€ 1,600,000","€ 1,734,249",M,27,Spain,Levante,2020-2021,la-liga,,,,,,,,,,
Claudio Bravo,"€ 30,769","€ 1,600,000","€ 1,734,249",K,37,Chile,Real Betis,2020-2021,la-liga,,,,,,,,,,
Jokin Ezkieta,"€ 30,000","€ 1,560,000","€ 1,690,893",K,24,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Jorge Molina,"€ 29,615","€ 1,540,000","€ 1,669,215",F,38,Spain,Granada,2020-2021,la-liga,,,,,,,,,,
Mauro Arambarri,"€ 29,423","€ 1,530,000","€ 1,658,376",M,25,Uruguay,Getafe,2020-2021,la-liga,,,,,,,,,,
